index,engine,alpha,v,sum2,sum3,expect2,expect3,stdev2,stdev3,state_uav
0,30,0,10,674612.6556,652674.2037,5499.860483,5828.730612,3.697529886,3.564346338,1
1,30,0,12,805187.3469,828840.5508,5178.732169,5232.820808,4.046383843,4.148844415,1
2,30,0,15,1147337.159,1237681.013,4755.761237,4762.840666,5.502324756,5.997731294,1
3,30,0,18,1691018.605,1787300.407,4899.903722,4929.868015,7.738212224,8.360927911,1
4,30,0,7,498614.8657,523023.6827,6807.974479,6909.780711,2.357567505,2.461222406,1
5,30,10,12,861493.7598,955069.7777,4877.465615,4680.537592,4.460246039,5.29951475,1
6,30,10,15,1300916.265,1396658.339,4290.920847,4279.066016,7.053223256,7.760922112,1
7,30,10,16,1452017.836,1523194.866,4389.154202,4334.944437,7.641919817,8.357375414,1
8,30,10,7,467828.9303,538584.3013,7068.258449,6559.2218,1.936356492,2.50513795,1
9,30,15,10,705613.5176,719138.4042,4532.86957,4852.25971,4.297033943,4.432306688,1
10,30,15,12,851683.6774,889852.6395,4091.035488,4325.897655,5.142980405,5.501700637,1
11,30,15,7,446984.6226,524659.4092,6054.216117,6128.42879,2.440659666,2.875342737,1
12,30,20,10,751557.9351,636120.3875,4221.852244,5186.549837,5.105281294,4.299227659,1
13,30,20,12,931086.7221,834295.4738,3965.474883,4403.610273,6.2551137,5.898540713,1
14,30,20,14,1066397.404,1042467.996,3805.473275,3951.044734,7.058120188,7.340517217,1
15,30,20,7,524213.2837,522713.6116,5596.777666,6293.693184,3.299434067,3.108269359,1
16,30,30,12,916665.546,1644891.948,3409.725954,3820.136845,8.320190282,11.27693872,1
17,30,30,14,1014668.307,1921678.951,3404.934364,4084.564036,8.749623791,12.50375397,1
18,30,30,7,573522.4137,886049.9674,4429.600081,4083.451902,5.128171146,6.786130653,1
19,30,45,13.5,761163.1357,1489818.983,3517.169383,4371.94209,6.676470066,8.638296632,1
