index,engine,alpha,v,sum2,sum3,expect2,expect3,stdev2,stdev3,state_uav
0,30.0,0.0,0.0,294854.46274682344,330372.82330272807,8109.226126338898,8715.594114083751,1.2134603102565018,1.2565612492426637,1.0
1,30.0,0.0,10.0,674612.6555706385,652674.2036918561,5499.860482783282,5828.730611769532,3.6975298859786276,3.5643463378621014,1.0
2,30.0,0.0,12.0,805187.3469069704,828840.5508440746,5178.732168968432,5232.820807618182,4.046383843098106,4.148844415167319,1.0
3,30.0,0.0,15.0,1147337.1588974844,1237681.013468962,4755.761236716983,4762.840665733114,5.502324756456233,5.997731294246653,1.0
4,30.0,0.0,16.0,1306401.9930767384,1402425.0115949523,4675.239475469854,4730.44377345829,6.307008468122247,6.821481318947998,1.0
5,30.0,0.0,18.0,1691018.605138074,1787300.406985794,4899.9037221003055,4929.868015298971,7.738212224000391,8.36092791064096,1.0
6,30.0,0.0,7.0,498614.86569816445,523023.68269507564,6807.974479196384,6909.780710619587,2.3575675046112585,2.4612224063881345,1.0
7,30.0,10.0,10.0,683293.0699130879,734250.7043012441,5347.072824835859,5267.734120945859,3.43793285169821,3.8451903013788566,1.0
8,30.0,10.0,12.0,861493.7597500529,955069.7776501158,4877.465614684676,4680.537592174491,4.460246039350607,5.2995147501514035,1.0
9,30.0,10.0,15.0,1300916.2653454281,1396658.3389366523,4290.920847177973,4279.0660156230515,7.053223256008495,7.760922111937077,1.0
10,30.0,10.0,16.0,1452017.8357587224,1523194.8659577928,4389.154201546098,4334.944437173552,7.6419198165162365,8.35737541424863,1.0
11,30.0,10.0,7.0,467828.9303345265,538584.3012770906,7068.25844873272,6559.2217999537625,1.9363564919827099,2.5051379497673665,1.0
12,30.0,15.0,10.0,705613.5175853835,719138.4041930224,4532.869570240994,4852.25971042179,4.297033943182879,4.432306688086342,1.0
13,30.0,15.0,12.0,851683.6773982388,889852.6394570677,4091.0354878381145,4325.897654731272,5.14298040549567,5.501700636695638,1.0
14,30.0,15.0,15.0,1239432.8051362787,1384201.4153867476,3853.4794474321166,3903.3379893313336,7.458889969779971,8.565420521641704,1.0
15,30.0,15.0,7.0,446984.6226490629,524659.4091791712,6054.216117406475,6128.428790411453,2.4406596656107453,2.875342737035849,1.0
16,30.0,20.0,10.0,751557.9350518192,636120.3874625727,4221.852244194849,5186.5498368775325,5.105281293513608,4.29922765917697,1.0
17,30.0,20.0,12.0,931086.722115235,834295.4738322616,3965.474883197078,4403.610273060202,6.255113700432393,5.89854071347989,1.0
18,30.0,20.0,12.0,927524.5176689604,835949.4289064654,4079.989036446187,4578.780201411204,6.1586956220823,5.797318910276868,0.0
19,30.0,20.0,14.0,1066397.4036801253,1042467.9957419665,3805.4732749232967,3951.0447337522087,7.058120188066377,7.340517216980694,1.0
20,30.0,20.0,7.0,524213.2837248067,522713.61158436665,5596.777665983886,6293.693184117547,3.2994340673711386,3.108269359171257,1.0
21,30.0,30.0,10.0,831614.1246084145,1314860.8119292462,3661.0781898379487,3679.8744042173466,7.518080851849121,9.63300253582769,1.0
22,30.0,30.0,12.0,916665.5459590078,1644891.9484241377,3409.725954083268,3820.1368446809242,8.320190282341397,11.276938720248506,1.0
23,30.0,30.0,14.0,1014668.3071390655,1921678.9513949219,3404.9343640967118,4084.564036407329,8.749623790875244,12.503753966120158,1.0
24,30.0,30.0,7.0,573522.4137018088,886049.9673865534,4429.600081089731,4083.451902446834,5.128171146064208,6.786130652643155,1.0
